environ,libcons,obamaft
-2,1,100
-2,1,100
2,-2,100
-2,-2,100
1,2,100
-8,-8,100
5,-2,100
4,-2,100
-2,4,85
4,6,40
2,4,40
3,5,40
2,3,60
5,4,30
6,6,15
4,6,0
6,6,0
-2,-2,85
-2,-2,60
1,3,100
6,6,40
-2,-2,0
1,3,40
-2,-2,70
4,5,60
2,4,50
4,6,40
1,5,15
-2,-2,50
3,5,70
3,5,85
3,4,85
-2,-2,50
-2,-2,60
5,-2,85
7,1,60
1,-2,85
2,-2,85
-2,-2,85
4,3,85
3,5,15
4,3,90
3,4,70
6,6,0
5,6,15
4,7,15
5,5,15
7,6,0
2,5,15
5,6,0
3,5,85
4,6,15
6,1,0
1,-2,30
1,4,0
2,2,100
4,5,60
5,-2,70
3,4,70
-2,2,70
5,7,0
1,1,100
1,1,70
3,6,30
4,4,50
1,-2,15
3,2,85
2,3,90
-2,-8,70
3,6,85
2,4,70
3,4,85
6,4,0
2,-2,100
2,5,15
6,4,30
4,5,30
4,-2,70
-2,-2,30
5,3,80
1,2,100
-2,-2,65
3,2,85
5,4,-2
1,2,50
3,3,100
-2,-2,85
2,6,85
2,5,30
3,4,40
5,7,30
2,6,15
4,-2,0
1,5,70
-2,5,40
-2,-2,85
4,4,70
5,-2,0
-8,-2,30
4,4,85
3,4,30
5,6,0
2,5,30
1,-2,30
7,7,0
1,2,70
1,-2,100
4,4,85
3,-2,100
-2,-2,100
4,-2,100
1,-2,100
1,3,100
6,6,40
-2,3,85
1,-2,85
5,4,100
1,7,60
-2,-2,100
2,6,60
4,-2,100
1,-2,15
7,2,100
3,2,85
-2,7,50
-8,-2,70
2,5,70
-2,4,85
2,-2,85
3,3,50
3,2,100
4,3,85
-2,3,100
1,4,70
-2,4,70
1,-2,50
5,7,0
1,-2,85
3,2,100
3,5,60
1,4,40
2,4,70
6,5,40
1,4,85
2,3,0
6,5,85
1,-2,60
2,2,100
1,4,70
1,2,100
3,4,70
4,4,30
3,6,30
2,4,40
6,5,60
4,6,60
3,1,70
5,-2,30
4,4,85
-2,4,40
-2,-2,50
-2,4,15
5,4,75
6,6,0
4,4,70
5,6,0
-2,-2,100
3,3,50
2,2,70
2,-2,60
2,6,0
4,4,60
3,6,15
6,5,15
4,5,60
-2,-2,50
1,2,90
2,3,30
5,4,70
3,3,60
4,6,70
1,-2,50
-2,4,70
3,6,60
5,-2,40
2,2,60
1,-2,100
-2,6,15
-2,-2,85
2,3,85
5,4,40
-2,4,85
-2,-2,-9
1,-2,0
4,-2,85
2,-2,85
2,-2,90
-2,-2,85
3,-2,70
3,5,30
-2,5,30
1,1,100
-2,-2,70
-2,-2,70
-2,-2,85
2,1,85
6,4,0
2,3,70
4,5,40
1,3,100
6,5,70
3,4,85
1,-2,60
-2,-2,50
1,-2,85
-2,-2,70
-2,4,70
-2,5,40
5,6,0
2,3,70
-2,4,50
2,3,85
2,-2,70
3,5,30
-2,7,0
-2,-2,0
2,2,85
1,5,15
6,-2,40
2,2,70
5,5,40
3,4,85
-2,-2,0
3,5,40
2,-2,60
1,4,100
6,1,100
4,4,50
1,5,40
2,5,70
2,-2,0
5,6,30
2,2,70
3,4,70
5,-2,70
1,2,85
4,2,85
3,3,60
3,4,85
5,5,85
-2,-2,85
-2,-2,100
3,4,50
-2,-2,50
1,2,85
3,4,30
2,6,20
4,4,70
-2,5,70
1,2,85
2,2,100
4,2,85
3,6,40
1,3,60
1,4,85
1,4,85
3,4,70
2,3,15
3,4,60
1,2,70
4,5,40
7,-2,0
2,2,85
3,4,70
2,2,100
7,4,0
1,4,85
5,5,30
6,4,85
5,6,15
6,4,30
-2,4,15
2,4,60
2,6,60
3,-2,50
4,4,0
2,3,60
2,5,60
6,6,15
5,3,15
-2,6,0
4,-2,60
-2,-2,30
4,4,0
2,2,100
1,4,85
3,4,85
2,2,100
2,4,70
5,4,30
4,-2,85
2,-2,70
6,6,0
-2,-2,100
-2,-2,100
1,-2,70
4,5,30
2,6,100
-2,-2,50
1,5,85
-2,5,70
5,7,85
1,4,100
7,-2,100
3,5,70
2,2,50
4,4,80
4,3,50
1,4,100
2,5,60
2,3,50
-2,-8,0
-2,5,100
2,2,70
3,4,15
2,5,70
4,-2,60
3,4,85
4,7,30
2,5,60
3,-2,60
2,2,85
1,3,85
1,2,90
2,4,70
1,4,60
1,1,87
1,4,85
1,2,85
2,3,70
7,5,30
-2,-2,100
5,6,0
1,2,100
4,4,70
1,-2,85
4,5,40
4,5,70
1,-2,100
7,-2,40
-2,3,60
3,3,85
2,3,30
4,-2,15
4,7,0
3,4,60
1,4,100
3,4,70
-2,-2,85
7,-2,100
-2,4,100
-2,-2,100
1,4,100
2,4,100
4,5,0
3,-9,85
4,4,50
2,-2,70
1,-8,50
-2,3,70
5,6,15
4,5,30
4,6,30
6,6,0
3,7,50
2,4,85
2,5,85
1,3,100
1,2,100
1,2,85
2,3,85
1,2,60
1,-2,0
1,6,85
2,-2,60
1,4,15
3,6,30
1,1,70
5,6,0
3,6,100
5,6,40
5,7,15
4,6,15
2,5,60
6,5,60
1,-2,75
1,2,100
5,3,100
-2,-2,100
1,1,100
1,1,100
3,4,30
1,3,60
4,4,0
2,5,100
4,2,85
3,4,50
6,6,15
4,-2,50
1,2,85
-2,-2,60
3,5,30
1,4,85
1,4,100
4,5,40
3,5,0
5,-2,0
-2,-2,100
4,-2,60
4,3,40
1,-2,30
-2,-2,100
-2,-2,100
7,2,85
6,5,40
-2,-2,30
3,4,50
3,4,70
-2,-2,40
4,4,85
1,4,60
1,6,25
1,-8,0
2,4,60
6,4,60
-2,-2,40
5,2,15
4,4,85
3,4,50
1,6,70
1,2,85
7,7,0
-8,-2,100
1,-2,0
3,4,60
2,4,85
-8,-2,70
4,4,70
4,6,40
-9,6,30
3,-2,50
2,2,100
3,3,70
6,6,40
1,4,85
2,4,85
2,4,15
5,4,70
6,7,0
1,4,40
-2,5,40
7,7,15
4,6,0
-2,-2,60
1,2,85
4,6,30
5,-2,30
1,2,100
1,2,85
2,4,85
2,-2,100
3,4,85
-2,6,50
1,6,0
1,4,70
-2,3,85
5,-8,100
-2,-2,70
1,-2,50
4,4,60
5,4,70
1,4,100
2,-2,85
2,4,85
-2,4,60
-2,4,100
1,2,100
-2,-2,85
1,2,78
-2,-2,85
-2,4,85
-2,6,100
1,4,50
4,4,50
1,5,100
4,5,100
1,-2,100
1,-2,100
1,7,100
3,-2,85
-2,-2,60
7,7,40
-2,-2,70
1,1,70
1,4,85
-2,6,40
4,-2,40
2,-2,85
-2,1,100
5,6,85
3,2,85
1,6,85
1,2,85
-2,-2,85
-2,-2,60
-2,3,100
-2,2,100
-2,-2,100
3,3,70
6,-2,70
1,4,85
2,5,100
1,6,50
-2,6,60
-2,2,60
1,5,50
4,4,100
1,4,85
4,5,85
1,-2,100
1,4,85
-2,-2,100
3,5,60
1,6,60
1,-2,95
3,4,85
6,-2,70
2,5,60
-2,4,100
-2,-2,85
3,-2,15
4,4,100
2,-2,60
3,-2,60
3,-2,60
4,-2,85
1,-2,70
1,6,70
-2,-2,100
2,3,85
-2,-2,100
1,-2,100
2,3,100
-2,-2,100
4,4,50
-2,-2,100
2,5,85
-2,-2,100
1,7,100
2,-2,100
-2,-2,0
1,4,85
3,6,100
1,4,85
3,-2,100
3,4,85
-2,4,85
2,-2,100
1,-2,100
2,-2,100
3,2,100
2,4,100
1,-2,100
-2,6,100
2,4,85
2,6,100
2,3,100
4,5,30
1,-2,100
2,-2,100
-2,-2,70
4,4,100
-2,-2,100
-2,-2,70
-2,6,100
-2,4,70
-2,-2,100
-2,-2,100
1,4,85
-2,-2,100
1,2,85
1,-2,100
3,4,100
1,-2,70
1,5,100
4,-2,100
-2,-2,100
-2,-2,100
3,-2,85
3,2,85
2,-2,100
3,4,85
1,-2,100
1,5,80
1,4,100
3,5,100
6,-2,70
2,1,100
-8,6,85
-2,-2,100
1,-2,100
1,5,100
3,-2,70
1,5,100
1,-2,85
1,2,100
2,3,70
4,3,85
-2,-2,70
-2,4,100
1,2,100
3,3,100
-2,3,40
1,-2,0
-2,6,85
4,2,15
-2,-2,50
-2,4,100
4,-2,85
3,-2,85
-2,-2,50
-2,3,70
1,3,40
-2,-2,70
-2,-2,70
-2,4,50
4,3,30
-2,4,0
3,-2,85
6,6,90
2,-8,70
3,4,85
4,4,100
1,4,100
-2,6,85
4,-2,15
1,1,100
1,5,80
1,3,70
2,-2,50
6,6,100
1,-2,100
1,-2,100
1,-2,85
-2,-2,70
1,1,100
4,4,100
3,6,100
3,4,85
1,2,100
1,2,100
4,4,85
1,5,100
-2,-2,50
1,-2,85
5,3,70
4,-2,60
3,4,85
1,3,60
5,3,80
1,6,60
2,-2,85
-2,-2,85
1,-2,85
-2,6,100
-2,4,40
3,-2,70
-2,-2,70
4,-2,85
-2,-2,15
2,6,0
4,2,100
-2,-2,100
7,6,0
6,6,0
3,4,70
-2,1,100
1,3,70
2,3,100
5,-2,85
-2,-8,85
4,2,90
-2,-2,85
1,2,100
3,4,100
1,-2,100
5,3,50
2,2,70
2,-2,100
-2,4,100
2,-9,-9
1,-2,70
6,4,100
-2,-2,100
-2,-2,100
-2,-2,60
-2,-2,100
1,1,100
4,3,70
4,4,85
1,6,85
2,2,85
1,2,100
-2,-2,70
-2,3,85
2,3,100
1,3,85
4,2,70
4,5,40
-2,4,60
3,3,30
-2,4,100
2,2,70
1,2,85
5,5,70
1,4,100
5,6,0
2,2,85
2,2,85
5,5,30
2,4,85
3,6,50
4,4,70
-2,7,70
1,2,95
2,-2,70
1,2,85
1,6,100
1,4,100
4,5,0
1,3,85
4,4,70
2,3,100
1,3,85
1,3,85
2,4,100
3,4,85
-2,4,85
-2,3,100
2,5,100
4,4,70
5,6,0
1,2,85
4,4,70
-8,4,85
1,-2,60
4,4,15
1,2,70
2,2,60
3,4,10
2,-2,50
4,3,0
2,2,85
1,2,70
-9,2,85
2,4,85
5,5,85
2,-8,80
-2,-2,60
-2,-2,70
3,-2,85
2,4,60
1,-2,100
-2,6,85
3,6,85
2,4,85
7,4,100
1,-2,85
-2,2,85
7,-2,85
7,4,60
2,-2,5
3,2,30
2,3,85
3,2,60
7,4,85
3,4,70
1,-2,100
4,-2,60
6,-2,60
-2,-2,70
1,2,85
1,-2,70
1,-2,100
2,4,60
3,-2,85
2,4,70
1,-2,95
2,6,85
-2,-2,50
3,-2,50
-2,-2,15
-2,-2,70
5,-2,100
1,3,85
4,3,40
1,7,100
-2,4,100
2,-2,100
3,3,40
6,6,0
6,6,0
4,3,50
5,6,15
2,-2,100
-2,3,100
1,4,0
5,5,50
-2,2,100
3,6,30
1,5,50
1,1,85
1,-2,100
-2,-2,100
1,2,100
-2,-2,100
4,4,100
2,5,30
-2,-2,0
1,2,85
-2,-2,85
5,2,100
1,-2,60
1,1,85
2,3,70
-2,2,85
2,5,40
2,4,70
2,-8,100
1,-2,70
1,1,100
7,4,70
-2,-9,-9
4,-2,85
2,-2,75
7,-2,85
4,6,50
1,-2,50
1,-9,15
7,-2,50
4,-9,60
3,4,85
-2,-2,85
2,4,100
1,1,70
2,3,51
4,-2,0
-8,-8,90
1,1,100
2,3,70
5,4,30
4,4,60
4,6,50
4,4,60
2,5,85
4,4,45
-2,7,0
3,4,70
6,6,0
7,2,70
3,1,100
4,6,0
4,4,0
2,4,0
4,5,85
4,4,30
5,6,15
3,5,0
6,6,15
2,4,60
6,5,15
1,4,100
2,6,15
1,-2,85
1,4,15
2,4,70
-2,4,80
-2,-2,50
2,2,85
2,-2,60
1,-2,100
-2,-2,100
4,-2,60
1,4,50
-2,-2,100
1,2,85
3,-2,70
4,2,100
1,6,100
1,2,85
1,1,100
-2,7,40
4,4,70
3,5,40
4,4,10
-2,1,50
3,5,0
-2,-2,70
4,3,70
2,4,100
2,4,100
6,2,85
1,-2,70
6,3,50
1,5,100
3,6,40
6,6,2
3,4,85
2,4,60
3,6,15
1,-8,70
3,5,40
-8,4,0
-2,-2,70
1,5,50
5,-2,40
2,3,85
7,-2,70
-2,5,30
2,4,85
3,5,60
3,6,70
3,6,15
-2,4,0
4,7,15
3,2,85
1,6,40
-2,4,40
3,3,85
-2,5,30
2,-2,100
5,4,70
-2,-2,50
2,-2,15
3,4,30
4,6,15
1,-2,15
1,-2,100
3,-2,85
2,-2,70
3,-2,100
1,-2,50
4,4,70
1,2,85
4,4,30
3,2,85
3,4,85
5,7,15
1,4,40
1,-2,100
1,1,100
1,3,100
-2,-2,100
1,4,100
1,5,70
2,2,100
3,3,100
2,3,50
3,2,100
2,2,100
1,6,100
4,1,100
1,1,100
1,-2,100
-2,2,100
-2,3,100
1,-2,100
-2,-2,98
2,3,85
1,1,100
-2,-2,100
3,-2,100
3,2,100
2,5,70
1,2,100
1,1,85
-2,3,99
1,1,100
-2,-2,100
1,-2,100
7,4,100
5,3,85
-8,3,100
1,-2,70
3,-2,85
1,-2,100
2,-2,100
1,4,100
-8,-2,100
-2,3,100
1,7,100
3,1,100
1,4,85
3,2,70
1,6,85
1,2,100
3,2,85
1,-2,85
-2,-2,100
-2,-2,100
7,-2,100
2,6,100
4,-2,70
5,5,40
1,5,50
1,4,70
7,-2,100
2,-2,70
4,-2,85
2,6,100
-2,-2,85
-2,5,85
2,4,70
2,7,85
-2,-2,85
1,-2,60
1,2,100
1,4,60
1,-2,100
4,2,50
3,4,40
-2,3,100
2,2,70
-2,4,50
3,5,60
1,4,70
1,1,85
1,2,100
7,6,40
1,4,70
3,-2,60
4,4,40
4,1,85
1,5,0
3,2,50
-2,-2,70
2,5,30
-2,6,0
1,4,100
1,-2,100
3,-2,85
4,4,40
-2,-2,75
1,4,100
4,1,100
1,-2,100
-2,-2,85
1,2,100
2,2,70
2,4,85
1,2,100
-2,6,70
3,-2,85
1,2,70
-2,-2,85
2,2,85
3,2,85
1,5,100
3,-2,85
1,1,60
-2,2,100
2,-2,90
4,-2,60
3,4,85
4,-2,85
-2,-2,100
-2,-2,85
-2,6,0
2,-2,70
7,3,60
1,5,70
1,-2,85
4,6,15
4,7,50
1,4,100
-2,4,100
5,5,60
5,7,0
6,6,0
5,2,50
5,5,40
4,6,40
-2,7,0
5,6,1
3,6,0
1,4,85
-2,3,85
5,6,0
4,4,85
2,4,100
1,4,100
1,3,70
7,7,0
3,4,60
3,4,40
2,4,75
2,6,0
3,5,30
2,-2,60
5,4,50
-2,3,40
-2,3,60
-8,-2,50
3,4,40
3,4,70
4,6,0
4,6,15
-2,-2,100
3,-2,15
3,-2,100
2,2,100
3,5,70
7,6,40
2,3,60
3,4,85
4,4,70
1,2,100
2,3,85
1,6,85
4,-9,60
2,2,100
3,4,70
2,6,85
2,1,40
2,4,100
1,1,100
1,3,85
1,1,85
1,-8,100
3,2,100
1,4,0
2,4,100
1,3,85
-2,4,60
-2,4,50
1,3,100
2,2,80
1,4,50
2,4,40
3,5,40
6,6,15
5,5,35
3,4,70
1,2,85
2,3,70
-8,2,85
2,-2,50
2,2,85
1,4,85
1,3,85
1,4,50
-2,2,85
4,7,40
4,6,0
1,3,85
3,4,15
3,6,40
1,2,100
-2,-2,60
4,5,60
2,-2,70
3,6,60
2,3,70
5,2,50
-2,2,85
2,4,0
3,4,85
-2,-2,50
2,5,70
1,-8,85
1,2,100
6,-2,85
1,4,70
1,2,85
2,3,85
-2,6,85
-2,5,45
1,4,70
4,4,85
1,-2,100
2,-2,100
3,4,85
1,6,100
4,5,50
2,5,100
3,4,70
1,2,85
4,4,85
2,4,100
1,6,100
6,4,50
1,-2,100
2,6,100
-2,-2,100
-2,6,85
1,6,100
1,4,100
-2,2,85
-2,1,100
-2,6,85
1,-2,100
-2,-2,100
-2,3,100
1,1,100
1,7,100
2,3,100
-2,-2,85
4,-2,75
1,4,100
1,2,100
2,4,85
-2,4,85
2,5,85
-2,6,100
1,2,100
-2,-2,85
-2,-2,100
-2,7,85
1,6,100
-2,-2,100
4,5,85
-2,4,100
4,-2,85
